business,category,niche(s),score,tier,tier_label,score_web_opportunity,score_budget,score_niche_fit,score_reachability,score_reputation,score_operational,has_website,website,phone,rating,review_count,primary_type,maps_url,address,status
Флирт,Hospitality,lodging,98,A,Hot,100,100,100,100,76,100,no,,088 820 4972,4.4,413,hotel,https://maps.google.com/?cid=6703949026048522800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Chaika Area, bus st. Journalist, Златни пясъциПриморски, 9000 Варна",OPERATIONAL
Трите делфина - хотел и снек-бар,Hospitality,lodging,98,A,Hot,100,100,100,100,84,100,no,,088 562 9137,4.6,384,hotel,https://maps.google.com/?cid=13229663802929278420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Габрово“ 27, 9000 Варна",OPERATIONAL
Снек-бар Младост,Hospitality,restaurant,98,A,Hot,100,100,100,100,76,100,no,,087 666 6480,4.4,319,family_restaurant,https://maps.google.com/?cid=4668563159162438339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, ул. Димитър Ефендулов 4, 9020 Варна",OPERATIONAL
Тилилей,Hospitality,restaurant,98,A,Hot,100,100,100,100,76,100,no,,052 600 686,4.4,287,restaurant,https://maps.google.com/?cid=9104323318660431812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, ул. „Генерал Колев“ 74, 9002 Варна",OPERATIONAL
HOTEL IMPERIA,Hospitality,lodging,98,A,Hot,100,100,100,100,80,100,no,,088 808 5008,4.5,285,hotel,https://maps.google.com/?cid=9430915037404772766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Охрид“ 10, 9000 Варна",OPERATIONAL
Amore Beach Restaurant,Hospitality,restaurant,98,A,Hot,100,98,100,100,80,100,no,,089 991 0229,4.5,224,restaurant,https://maps.google.com/?cid=3088122034614679972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Плаж Аспарухово, Аспарухово, 9021 Варна",OPERATIONAL
Souvlaki Traditional Greek Grill,Hospitality,restaurant,98,A,Hot,100,96,100,100,92,100,no,,087 989 4634,4.8,194,greek_restaurant,https://maps.google.com/?cid=10092826399529538514&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, ул. „Любен Каравелов“ 32, 9002 Варна",OPERATIONAL
Номадо хостел,Hospitality,lodging,98,A,Hot,100,95,100,100,88,100,no,,087 788 8583,4.7,191,hostel,https://maps.google.com/?cid=7020277589780353972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Никола Кънев“ 7, 9000 Варна",OPERATIONAL
Saltish Restaurant,Hospitality,restaurant,98,A,Hot,100,93,100,100,100,100,no,,087 700 7808,5,159,restaurant,https://maps.google.com/?cid=4026777597308500734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Varna CenterOdesosОдесос, бул. „Приморски“ 23, 9000 Варна",OPERATIONAL
Мокатини,Hospitality,restaurant,97,A,Hot,100,100,100,100,72,100,no,,089 222 0636,4.3,951,cafe,https://maps.google.com/?cid=11572302026854862285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Мир“ 17, 9010 Варна",OPERATIONAL
Perfect,Hospitality,lodging,97,A,Hot,100,100,100,100,68,100,no,,052 600 416,4.2,537,hotel,https://maps.google.com/?cid=395048687328526836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Петко Каравелов“ 8, 9000 Варна",OPERATIONAL
Иванова воденица - до стадион Тича,Hospitality,restaurant,97,A,Hot,100,100,100,100,68,100,no,,089 666 6368,4.2,462,restaurant,https://maps.google.com/?cid=8151961202425261246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"бул. „8-ми Приморски полк“ 128, 9010, Варна ЦентърПриморски, 9020 Варна",OPERATIONAL
"Хотел ""Алекта""",Hospitality,lodging,97,A,Hot,100,100,100,100,72,100,no,,088 602 4023,4.3,345,hotel,https://maps.google.com/?cid=8754981707654851310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Парк Март (бивш Пикадили Парк, СалтанатПриморски, ул. „Христина Хранов“ 28, м, 9006 Варна",OPERATIONAL
The Shed,Hospitality,restaurant,97,A,Hot,100,100,100,100,72,100,no,,087 887 7901,4.3,333,fast_food_restaurant,https://maps.google.com/?cid=15240071522447166454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Дубровник“ 48, 9010 Варна",OPERATIONAL
Бар Коктейли III,Hospitality,restaurant,97,A,Hot,100,100,100,100,72,100,no,,089 980 1784,4.3,323,bar,https://maps.google.com/?cid=4566728634547216651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Дубровник“ 15, 9010 Варна",OPERATIONAL
Анджи,Hospitality,lodging,97,A,Hot,100,97,100,100,76,100,no,,087 917 8772,4.4,218,hotel,https://maps.google.com/?cid=6623137916077298168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Chaika Area, Златни пясъциПриморски, 9007 Варна",OPERATIONAL
Иванова чешма,Hospitality,restaurant,97,A,Hot,100,97,100,100,72,100,no,,089 899 5590,4.3,218,restaurant,https://maps.google.com/?cid=10243987069535487103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Галата, местност Зеленика-3 064, ЗеленикаАспарухово, 9021 Варна",OPERATIONAL
Ресторант La Domo,Hospitality,restaurant,97,A,Hot,100,92,100,100,88,100,no,,088 822 2964,4.7,152,restaurant,https://maps.google.com/?cid=11090146720399277975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. ""Братя Миладинови“ 55, 9000 Варна",OPERATIONAL
д-р Борис Шопов,Health,dental,97,A,Hot,100,87,100,100,96,100,no,,088 830 6781,4.9,103,dental_clinic,https://maps.google.com/?cid=15212334978567918892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"улица „Баба Тонка“ 14, партер, Варна ЦентърОдесос, 9000 Варна",OPERATIONAL
Орхидея,Hospitality,restaurant,96,A,Hot,100,100,100,100,64,100,no,,052 510 714,4.1,826,restaurant,https://maps.google.com/?cid=15419300664310066423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Владислав ВарненчикВладислав ВарненчикВладислав Варненчик, бул. трети март 32, 9023 Варна",OPERATIONAL
Механа Къщата,Hospitality,restaurant,96,A,Hot,100,100,100,100,60,100,no,,052 605 909,4,744,restaurant,https://maps.google.com/?cid=16957852596071718104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „8-ми ноември“ 9, 9000 Варна",OPERATIONAL
Фантастико,Hospitality,restaurant,96,A,Hot,100,100,100,100,64,100,no,,089 850 6540,4.1,483,restaurant,https://maps.google.com/?cid=3825805646762461219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"бул. ""1-ви Май"" - под гледката на Галата, 9021 Упътване ￼ 089 850, ЗеленикаАспарухово, 6540 Варна",OPERATIONAL
Бамбуу бар,Hospitality,restaurant,96,A,Hot,100,100,100,100,60,100,no,,089 966 8878,4,321,bar,https://maps.google.com/?cid=5547408377778286831&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, 9020 Варна",OPERATIONAL
Хепи Фарм - Happy Farm,Hospitality,restaurant,96,A,Hot,100,97,100,100,64,100,no,,088 866 5033,4.1,211,restaurant,https://maps.google.com/?cid=136791434063315646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Генерал Георги Попов“ 30, 9010 Варна",OPERATIONAL
Gusto Del Mare,Hospitality,restaurant,96,A,Hot,100,96,100,100,72,100,no,,087 651 3920,4.3,205,fish_and_chips_restaurant,https://maps.google.com/?cid=5423879034594537367&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Чайка, ул. Търговска, пав. 13, ж.к. ЧайкаПриморски, 9010 Варна",OPERATIONAL
Творчески дом на БАН,Hospitality,lodging,96,A,Hot,100,94,100,100,76,100,no,,052 355 145,4.4,172,lodging,https://maps.google.com/?cid=11448229806483732010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Златни пясъциПриморски, 9007 Варна",OPERATIONAL
Апартаменти Каза дел Мар,Hospitality,lodging,96,A,Hot,100,92,100,100,80,100,no,,088 825 9920,4.5,156,lodging,https://maps.google.com/?cid=10557491424253782113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Kabakum area, Casa Del Mar, Golden Sands 9007, ЧайкаПриморски, 9007 Варна",OPERATIONAL
The Shed Mladost,Hospitality,restaurant,96,A,Hot,100,86,100,100,92,100,no,,087 622 9199,4.8,100,fast_food_restaurant,https://maps.google.com/?cid=12498115327269304129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, ВладиславовоМладост, ул. ""Хан Севар"" 20, 9000 Варна",OPERATIONAL
Pizza Fritta Varna,Hospitality,restaurant,96,A,Hot,100,82,100,100,96,100,no,,087 980 5150,4.9,75,fast_food_restaurant,https://maps.google.com/?cid=1397007757558018449&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесосОдесос, бул. „Съборни“ 30, 9000 Варна",OPERATIONAL
The Drunken Shrimp,Hospitality,restaurant,96,A,Hot,100,82,100,100,100,100,no,,088 449 1144,5,75,bar,https://maps.google.com/?cid=9201834850337575781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Сан Стефано“ 25, 9000 Варна",OPERATIONAL
MERAKI,Hospitality,restaurant,95,A,Hot,100,100,100,100,48,100,no,,088 500 8242,3.7,1873,restaurant,https://maps.google.com/?cid=517270940481507761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Морска гараOdessos, 9000 Varna",OPERATIONAL
Международен дом на журналистите - Варна,Hospitality,lodging,95,A,Hot,100,100,100,100,48,100,no,,052 493 452,3.7,471,hotel,https://maps.google.com/?cid=13410062620129298094&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Златни пясъциПриморски, E87 18, 9007 Варна",OPERATIONAL
Хотел Сорбона,Hospitality,lodging,95,A,Hot,100,100,100,100,48,100,no,,088 786 6033,3.7,375,hotel,https://maps.google.com/?cid=4364124190995822952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Дубровник“ 23, 9000 Варна",OPERATIONAL
Гранде,Hospitality,restaurant,95,A,Hot,100,100,100,100,48,100,no,,089 304 1307,3.7,302,restaurant,https://maps.google.com/?cid=17182114072164498789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Русе“ 5, 9000 Варна",OPERATIONAL
"Ресторант ""Камина"", бърза закуска"" Ям-Ям"", Sham sweet coffee",Hospitality,restaurant,95,A,Hot,100,98,100,100,56,100,no,,088 661 3641,3.9,235,restaurant,https://maps.google.com/?cid=8811044526375278653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Дрин“ 16, 9000 Варна",OPERATIONAL
Gusto Del Mare,Hospitality,restaurant,95,A,Hot,100,98,100,100,56,100,no,,087 651 3920,3.9,232,fast_food_restaurant,https://maps.google.com/?cid=1963893344136413108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Дубровник“ 15А, 9010 Варна",OPERATIONAL
ХОТЕЛ ФИЕСТА,Hospitality,lodging,95,A,Hot,100,97,100,100,56,100,no,,052 356 032,3.9,208,hotel,https://maps.google.com/?cid=7297384919608812979&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Чайка, Златни пясъциПриморски, 9007 Варна",OPERATIONAL
Хотел Релакс,Hospitality,lodging,95,A,Hot,100,92,100,100,64,100,no,,089 789 3432,4.1,148,hotel,https://maps.google.com/?cid=10407695048236863189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Стефан Караджа“ 22, 9000 Варна",OPERATIONAL
Zero Zero Mladost,Hospitality,restaurant,95,A,Hot,100,90,100,100,72,100,no,,087 607 0762,4.3,129,sports_bar,https://maps.google.com/?cid=10910745037963412660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, ул. „Вяра“, 9020 Варна",OPERATIONAL
Чудесно и лесно,Hospitality,restaurant,95,A,Hot,100,89,100,100,76,100,no,,087 661 0208,4.4,120,fast_food_restaurant,https://maps.google.com/?cid=12581768609226961477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Владислав ВарненчикВладислав Варненчик, ж.к. Владислав Варненчик, 9023 Варна",OPERATIONAL
Sweet Street Bakery Varna,Hospitality,restaurant,95,A,Hot,100,85,100,100,84,100,no,,087 886 1382,4.6,90,dessert_restaurant,https://maps.google.com/?cid=10849320259716624385&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Дубровник“ 38, 9010 Варна",OPERATIONAL
Ялта,Hospitality,lodging,95,A,Hot,100,84,100,100,84,100,no,,088 904 8751,4.6,88,hotel,https://maps.google.com/?cid=10866681972185504956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Златни пясъциПриморски, 9007 Варна",OPERATIONAL
Семеен хотел-ресторант Глобус,Hospitality,lodging,95,A,Hot,100,83,100,100,84,100,no,,089 786 6023,4.6,80,hotel,https://maps.google.com/?cid=18092644794962878062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"курортен комплекс ""Чайка плажна алея Кабакум, ЧайкаПриморски, 9007 Варна",OPERATIONAL
Дентално Студио Smile Time,Health,dental,95,A,Hot,100,80,100,100,96,100,no,,088 532 4343,4.9,63,dental_clinic,https://maps.google.com/?cid=7714609966159573279&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Професор Константин Иречек“ 9 Str, 9000 Варна",OPERATIONAL
TastyBox,Hospitality,restaurant,95,A,Hot,100,79,100,100,100,100,no,,088 643 5959,5,62,fast_food_restaurant,https://maps.google.com/?cid=4507119485105434388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВиницаПриморски, бул. „Свети Свети Константин и Елена“ 11, 9022 Варна",OPERATIONAL
Fit Point Nutrition Hub,Hospitality,restaurant,95,A,Hot,100,78,100,100,100,100,no,,087 788 0313,5,56,restaurant,https://maps.google.com/?cid=7890739843391411497&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"в двора на АГ-болница, Варна ЦентърПриморски, бул. „Цар Освободител“ 150, 9000 Варна",OPERATIONAL
Рибен магазин МЕЧКАТА,Hospitality,restaurant,95,A,Hot,100,77,100,100,96,100,no,,089 848 8325,4.9,53,meal_takeaway,https://maps.google.com/?cid=6248726869043941045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВиницаПриморски, ВиницаПриморски, ул. „Константин Павлов“ 1, 9022 Варна",OPERATIONAL
Хотел Силвер,Hospitality,lodging,94,A,Hot,100,100,100,100,44,100,no,,052 355 160,3.6,583,hotel,https://maps.google.com/?cid=11687009117237392458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"k.k. Chayka 9007 Varna, Златни пясъциПриморски, 9007 Варна",OPERATIONAL
"Хотел ""Магнолия""",Hospitality,lodging,94,A,Hot,100,100,100,100,36,100,no,,052 389 360,3.4,461,hotel,https://maps.google.com/?cid=2130989738068756338&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Златни Пясъци, Чайка, Варна, ЧайкаПриморски, 9007 Златни Пясъци, Чайка",OPERATIONAL
"Ресторант '""Moskoyani by Фея""",Hospitality,restaurant,94,A,Hot,100,86,100,100,72,100,no,,089 989 9809,4.3,99,restaurant,https://maps.google.com/?cid=12941081989532946790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"9009, ж.к. ТрошевоМладост, ул. „Тихомир“ 54, 9009 Варна",OPERATIONAL
Снекбар „Галата“,Hospitality,restaurant,94,A,Hot,100,82,100,100,84,100,no,,089 455 4281,4.6,77,restaurant,https://maps.google.com/?cid=12627182333759013763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ГалатаАспарухово, ул. „Капитан I-ви ранг Георги Купов“ 60, 9021 Варна",OPERATIONAL
ЕРА Недвижими имоти - Офис Лайф,Real Estate,real_estate,94,A,Hot,100,78,100,100,92,100,no,,088 874 9911,4.8,56,real_estate_agency,https://maps.google.com/?cid=11007416705097903417&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, ул. ""Васил Чекаларов 12, 9027 Варна",OPERATIONAL
Гръцки гирос,Hospitality,restaurant,94,A,Hot,100,77,100,100,88,100,no,,087 750 4530,4.7,51,restaurant,https://maps.google.com/?cid=12143608624013119451&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, бул. „Чаталджа“ 51, 9002 Варна",OPERATIONAL
Д-р Каназирев,Health,dental,94,A,Hot,100,76,100,100,96,100,no,,088 811 8803,4.9,50,dentist,https://maps.google.com/?cid=11539372041129132348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Родопи“ 6А, 9000 Варна",OPERATIONAL
Хотел Рай,Hospitality,lodging,93,A,Hot,100,95,100,100,44,100,no,,088 632 6593,3.6,189,hotel,https://maps.google.com/?cid=8979011452532948639&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЧайкаПриморски, ул. Ален мак, 9007 Варна",OPERATIONAL
“Чайка“,Hospitality,lodging,93,A,Hot,100,94,100,100,44,100,no,,089 822 2668,3.6,169,hotel,https://maps.google.com/?cid=10299364928262250343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Sv. Sv. Konstantin I Elena, Св. Св. Константин И ЕленаПриморски, 9006 Св.св. Константин и Елена",OPERATIONAL
By Nikola Port,Hospitality,restaurant,93,A,Hot,100,93,100,100,48,100,no,,088 832 2020,3.7,162,restaurant,https://maps.google.com/?cid=15961261213694238664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Пристанищен комплексОдесос, бул. „Приморски“ 25 - 31, 9000 Варна",OPERATIONAL
Hotel Margarita,Hospitality,lodging,93,A,Hot,100,93,100,100,44,100,no,,089 566 4015,3.6,157,hotel,https://maps.google.com/?cid=556164263932455322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВаяларПриморски, Vajalar 89, 9006 Варна",OPERATIONAL
парк-хотел Здравец,Hospitality,lodging,93,A,Hot,100,92,100,100,52,100,no,,089 575 0685,3.8,151,hotel,https://maps.google.com/?cid=8688881484400610063&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"k.k. Chaika, Златни пясъциПриморски, 9007 Варна",OPERATIONAL
BIZARRE BOUTIQUE HOTEL / БИЗАР БУТИК ХОТЕЛ,Hospitality,lodging,93,A,Hot,100,81,100,100,76,100,no,,088 245 1320,4.4,69,hotel,https://maps.google.com/?cid=5250129892677864408&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Varna CenterOdesosОдесос, ул. „Доктор Людвик Заменхоф“ 40, 9000 Варна",OPERATIONAL
